date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:56	760425/760425	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:32:46%20GMT	https://prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider1.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider1.jpg	(from https://prestigecity-sarjapur.in/)
18:45:56	4133098/4133098	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2011:22:24%20GMT	https://prestigecity-sarjapur.in/assets/img/logo/logo.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/logo/logo.png	(from https://prestigecity-sarjapur.in/)
18:45:57	994145/994145	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:33:44%20GMT	https://prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider6.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider6.jpg	(from https://prestigecity-sarjapur.in/)
18:45:58	816264/816264	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:33:24%20GMT	https://prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider4.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider4.jpg	(from https://prestigecity-sarjapur.in/)
18:45:58	58249/58249	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Oct%202020%2022:46:14%20GMT	https://prestigecity-sarjapur.in/assets/img/costing-details.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/costing-details.jpg	(from https://prestigecity-sarjapur.in/)
18:45:59	132693/132693	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Sep%202021%2014:23:12%20GMT	https://prestigecity-sarjapur.in/assets/img/pdf.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/pdf.png	(from https://prestigecity-sarjapur.in/)
18:45:59	212123/212123	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:54:54%20GMT	https://prestigecity-sarjapur.in/assets/img/plan/1%20bhk.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/plan/1%20bhk.jpg	(from https://prestigecity-sarjapur.in/)
18:45:59	291141/291141	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:54:40%20GMT	https://prestigecity-sarjapur.in/assets/img/plan/2%20bhk.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/plan/2%20bhk.jpg	(from https://prestigecity-sarjapur.in/)
18:45:59	246991/246991	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:53:54%20GMT	https://prestigecity-sarjapur.in/assets/img/plan/4bhk.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/plan/4bhk.jpg	(from https://prestigecity-sarjapur.in/)
18:46:00	277438/277438	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:55:10%20GMT	https://prestigecity-sarjapur.in/assets/img/plan/3%20bhk.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/plan/3%20bhk.jpg	(from https://prestigecity-sarjapur.in/)
18:46:00	32671/32671	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2013:12:52%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/amphitheatre.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/amphitheatre.png	(from https://prestigecity-sarjapur.in/)
18:46:00	291106/291106	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:55:58%20GMT	https://prestigecity-sarjapur.in/assets/img/plan/master.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/plan/master.jpg	(from https://prestigecity-sarjapur.in/)
